A00,Cólera
B810,Anisaquíase
B811,Capilaríase intestinal
B812,Tricostrongilose
B813,Angiostrongilíase intestinal
B814,Helmintíases intestinais mistas
B818,Outras helmintíases intestinais especificadas
B82,Parasitose intestinal não especificada
B820,Helmintíase intestinal não especificada
B829,Parasitose intestinal não especificada
B83,Outras helmintíases
B830,Larva migrans visceral
B831,Gnatostomíase
B832,Angrostrongilíase devida Parastrongylus cantonensis
B833,Singamose
B834,Hirudiníase interna
B838,Outras helmintíases especificadas
B839,Helmintíase não especificada
B85,Pediculose ftiríase
B850,Pediculose devida Pediculus humanus capitis
B851,Pediculose devida Pediculus humanus corporis
B852,Pediculose não especificada
B853,Ftiríase
B854,Pediculose ftiríase mista
B86,Escabiose [sarna]
B87,Miíase
B870,Miíase cutânea
B871,Miíase feridas
B872,Miíase ocular
B873,Miíase nasofaríngea
B874,Miíase auricular
B878,Miíase outras localizações
B879,Miíase não especificada
B88,Outras infestações
B880,Outras acaríases
B881,Tungíase [infestação pulga areia]
B882,Outras infestações artrópodos
B883,Hirudiníase externa
B888,Outras infestações especificadas
B889,Infestação não especificada
B89,Doença parasitária não especificada
B90,Seqüelas tuberculose
B900,Seqüelas tuberculose sistema nervoso central
B901,Seqüelas tuberculose geniturinária
B902,Seqüelas tuberculose óssea articulações
B908,Seqüelas tuberculose outros órgãos
B909,Seqüelas tuberculose vias respiratórias órgãos não especificados
B91,Seqüelas poliomielite
B92,Seqüelas hanseníase [lepra]
B94,Seqüelas outras doenças infecciosas parasitárias não especificadas
B940,Seqüelas tracoma
B941,Seqüelas encefalite viral
B942,Seqüelas hepatite viral
B948,Seqüelas outras doenças infecciosas parasitárias especificadas
B949,Seqüelas doença infecciosa parasitária não especificada
B95,Estreptococos estafilococos causa doenças classificadas outros capítulos
B950,Estreptococo grupo A
B951,Estreptococo grupo B
B952,Estreptococo grupo D
B953,Streptococcus pneumoniae
B954,Outros estreptococos
B955,Estreptococo não especificado
B956,Staphylococcus aureus
B957,Outros estafilococos causa doenças classificadas outros capítulos
B958,Estafilococo não especificado
B96,Outros agentes bacterianos
B960,Mycoplasma pneumoniae [M. pneumoniae]
B961,Klebsiella pneumoniae [M. pneumoniae]
B962,Escherichia coli [E. Coli]
B963,Haemophilus influenzae [H. influenzae]
B964,Proteus (mirabilis) (morganii)
B965,Pseudomonas (aeruginosa) (mallei) (pseudomallei)
B966,Bacillus fragilis [B. fragilis]
B967,Clostridium perfringens [C. perfringens]
B968,Outros agentes bacterianos especificados
B97,Vírus causa doenças classificadas outros capítulos
B970,Adenovírus
B971,Enterovírus
B972,Coronavírus
B973,Retrovírus
B974,Vírus sincicial respiratório
B975,Reovírus
B976,Parvovírus
B977,Papilomavírus
B978,Outros agentes virais
B99,Doenças infecciosas
C00,Neoplasia maligna lábio
C000,Neoplasia maligna lábio superior externo
C001,Neoplasia maligna lábio inferior externo
C002,Neoplasia maligna lábio externo
C003,Neoplasia maligna lábio superior
C004,Neoplasia maligna lábio inferior
C005,Neoplasia maligna lábio
C006,Neoplasia maligna comissura labial
C008,Neoplasia maligna lábio lesão invasiva
C009,Neoplasia maligna lábio
C01,Neoplasia maligna base língua
C02,Neoplasia maligna outras partes partes não especificadas língua
C020,Neoplasia maligna face dorsal língua
C021,Neoplasia maligna borda língua
C022,Neoplasia maligna face ventral língua
C023,Neoplasia maligna dois terços anteriores língua
C024,Neoplasia maligna amígdala lingual
C028,Neoplasia maligna língua lesão invasiva
C029,Neoplasia maligna língua
C03,Neoplasia maligna gengiva
C030,Neoplasia maligna gengiva superior
C031,Neoplasia maligna gengiva inferior
C039,Neoplasia maligna gengiva
C04,Neoplasia maligna assoalho boca
C040,Neoplasia maligna assoalho anterior boca
C041,Neoplasia maligna assoalho lateral boca
C048,Neoplasia maligna assoalho boca lesão invasiva
C049,Neoplasia maligna assoalho boca
C05,Neoplasia maligna palato
C050,Neoplasia maligna palato duro
C051,Neoplasia maligna palato mole
C052,Neoplasia maligna úvula
C058,Neoplasia maligna palato lesão invasiva
C059,Neoplasia maligna palato
C06,Neoplasia maligna outras partes partes não especificadas boca
C060,Neoplasia maligna mucosa oral
C061,Neoplasia maligna vestíbulo boca
C062,Neoplasia maligna área retromolar
C068,Neoplasia maligna outras partes partes não especificadas boca lesão invasiva
C069,Neoplasia maligna boca
C07,Neoplasia maligna glândula parótida
C08,Neoplasia maligna outras glândulas salivares maiores as não especificadas
C080,Neoplasia maligna glândula submandibular
C081,Neoplasia maligna glândula sublingual
C088,Neoplasia maligna glândulas salivares maiores lesão invasiva
C089,Neoplasia maligna glândula salivar maior
C09,Neoplasia maligna amígdala
C090,Neoplasia maligna fossa amigdaliana
C091,Neoplasia maligna pilar amigdaliano (anterior) (posterior)
C098,Neoplasia maligna amígdala lesão invasiva
C099,Neoplasia maligna amígdala
C10,Neoplasia maligna orofaringe
C100,Neoplasia maligna valécula
C101,Neoplasia maligna face anterior epiglote
C102,Neoplasia maligna parede lateral orofaringe
C103,Neoplasia maligna parede posterior orofaringe
C104,Neoplasia maligna fenda branquial
C108,Neoplasia maligna orofaringe lesão invasiva
C109,Neoplasia maligna orofaringe
C11,Neoplasia maligna nasofaringe
C110,Neoplasia maligna parede superior nasofaringe
C111,Neoplasia maligna parede posterior nasofaringe
C112,Neoplasia maligna parede lateral nasofaringe
C113,Neoplasia maligna parede anterior nasofaringe
C118,Neoplasia maligna nasofaringe lesão invasiva
C119,Neoplasia maligna nasofaringe
C12,Neoplasia maligna seio piriforme
C13,Neoplasia maligna hipofaringe
C130,Neoplasia maligna região pós-cricóidea
C131,Neoplasia maligna prega ariepiglótica
C132,Neoplasia maligna parede posterior hipofaringe
C138,Neoplasia maligna hipofaringe lesão invasiva
C139,Neoplasia maligna hipofaringe
C14,Neoplasia maligna outras localizações localizações mal definida
C140,Neoplasia maligna faringe
C142,Neoplasia maligna anel Waldeyer
C148,Neoplasia maligna lábio
C15,Neoplasia maligna esôfago
C150,Neoplasia maligna porção cervical esôfago (esôfago cervical)
C151,Neoplasia maligna porção torácica esôfago (esôfago torácico)
C152,Neoplasia maligna porção abdominal esôfago (esôfago abdominal)
C153,Neoplasia maligna terço superior esôfago
C154,Neoplasia maligna terço médio esôfago
C155,Neoplasia maligna terço inferior esôfago
C158,Neoplasia maligna esôfago lesão invasiva
C159,Neoplasia maligna esôfago
C16,Neoplasia maligna estômago
C160,Neoplasia maligna cárdia
C161,Neoplasia maligna fundo estômago
C162,Neoplasia maligna corpo estômago
C163,Neoplasia maligna antro pilórico
C164,Neoplasia maligna piloro
C165,Neoplasia maligna pequena curvatura estômago
C166,Neoplasia maligna grande curvatura estômago
C168,Neoplasia maligna estômago lesão invasiva
C169,Neoplasia maligna estômago
C17,Neoplasia maligna intestino delgado
C170,Neoplasia maligna duodeno
C171,Neoplasia maligna jejuno
C172,Neoplasia maligna íleo
C173,Neoplasia maligna divertículo Meckel
C178,Neoplasia maligna intestino delgado lesão invasiva
C179,Neoplasia maligna intestino delgado
C18,Neoplasia maligna cólon
C180,Neoplasia maligna ceco
C181,Neoplasia maligna apêndice (vermiforme)
C182,Neoplasia maligna cólon ascendente
C183,Neoplasia maligna flexura (ângulo) hepática(o)
C184,Neoplasia maligna cólon transverso
C185,Neoplasia maligna flexura (ângulo) esplênica(o)
C186,Neoplasia maligna cólon descendente
C187,Neoplasia maligna cólon sigmóide
C188,Neoplasia maligna cólon lesão invasiva
C189,Neoplasia maligna cólon
C19,Neoplasia maligna junção retossigmóide
C20,Neoplasia maligna reto
C21,Neoplasia maligna ânus canal anal
C210,Neoplasia maligna ânus
C211,Neoplasia maligna canal anal
C212,Neoplasia maligna zona cloacogênica
C218,Neoplasia maligna reto
C22,Neoplasia maligna fígado vias biliares intra-hepáticas
C220,Carcinoma células hepáticas
C221,Carcinoma vias biliares intra-hepáticas
C222,Hepatoblastoma
C223,Angiossarcoma fígado
C224,Outros sarcomas fígado
C227,Outros carcinomas especificados fígado
C229,Neoplasia maligna fígado
C23,Neoplasia maligna vesícula biliar
C24,Neoplasia maligna outras partes
C240,Neoplasia maligna vias biliares extra-hepáticas
C241,Neoplasia maligna ampola Vater
C248,Neoplasia maligna vias biliares lesão invasiva
C249,Neoplasia maligna via biliar
C25,Neoplasia maligna pâncreas
C250,Neoplasia maligna cabeça pâncreas
C251,Neoplasia maligna corpo pâncreas
C252,Neoplasia maligna cauda pâncreas
C253,Neoplasia maligna canal pancreático
C254,Neoplasia maligna pâncreas endócrino
C257,Neoplasia maligna outras partes pâncreas
C258,Neoplasia maligna pâncreas lesão invasiva
C259,Neoplasia maligna pâncreas
C26,Neoplasia maligna outros órgãos digestivos localizações mal definidas no aparelho digestivo
C260,Neoplasia maligna trato intestinal
C261,Neoplasia maligna baço
C268,Neoplasia maligna aparelho digestivo lesão invasiva
C269,Neoplasia maligna localizações mal definidas dentro aparelho digestivo
C30,Neoplasia maligna cavidade nasal ouvido médio
C300,Neoplasia maligna cavidade nasal
C301,Neoplasia maligna ouvido médio
C31,Neoplasia maligna seios face
C310,Neoplasia maligna seio maxilar
C311,Neoplasia maligna seio etmoidal
C312,Neoplasia maligna seio frontal
C313,Neoplasia maligna seio esfenoidal
C318,Neoplasia maligna seios face lesão invasiva
C319,Neoplasia maligna seio face
C32,Neoplasia maligna laringe
C320,Neoplasia maligna glote
C321,Neoplasia maligna região supraglótica
C322,Neoplasia maligna região subglótica
C323,Neoplasia maligna cartilagens laringe
C328,Neoplasia maligna laringe lesão invasiva
C329,Neoplasia maligna laringe
C33,Neoplasia maligna traquéia
C34,Neoplasia maligna brônquios pulmões
C340,Neoplasia maligna brônquio principal
C341,Neoplasia maligna lobo superior
C342,Neoplasia maligna lobo médio
C343,Neoplasia maligna lobo inferior
C348,Neoplasia maligna brônquios pulmões lesão invasiva
C349,Neoplasia maligna brônquios pulmões
C37,Neoplasia maligna timo
C38,Neoplasia maligna coração
C380,Neoplasia maligna coração
C381,Neoplasia maligna mediastino anterior
C382,Neoplasia maligna mediastino posterior
C383,Neoplasia maligna mediastino
C384,Neoplasia maligna pleura
C388,Neoplasia maligna coração
C39,Neoplasia maligna outras localizações localizações mal definidas aparelho respiratório órgãos intratorácicos
C390,Neoplasia maligna trato respiratório superior
C398,Neoplasia maligna aparelho respiratório órgãos intratorácicos lesão invasiva
C399,Neoplasia maligna localizações mal definidas aparelho respiratório
C40,Neoplasia maligna ossos cartilagens articulares membros
C400,Neoplasia maligna omoplata [escápula] ossos longos membros superiores
C401,Neoplasia maligna ossos curtos membros superiores
C402,Neoplasia maligna ossos longos membros inferiores
C403,Neoplasia maligna ossos curtos membros inferiores
C408,Neoplasia maligna ossos cartilagens articulares membros lesão invasiva
C409,Neoplasia maligna ossos cartilagens articulares membro não especificado
C41,Neoplasia maligna ossos cartilagens articulares outras localizações localizações não especificadas
C410,Neoplasia maligna ossos crânio face
C411,Neoplasia maligna mandíbula
C412,Neoplasia maligna coluna vertebral
C413,Neoplasia maligna costelas
C414,Neoplasia maligna ossos pelve
C418,Neoplasia maligna ossos cartilagens articulares lesão invasiva
C419,Neoplasia maligna ossos cartilagens articulares
C43,Melanoma maligno pele
C430,Melanoma maligno lábio
C431,Melanoma maligno pálpebra
C432,Melanoma maligno orelha conduto auditivo externo
C433,Melanoma maligno outras partes partes não especificadas face
C434,Melanoma maligno couro cabeludo pescoço
C435,Melanoma maligno tronco
C436,Melanoma maligno membro superior
C437,Melanoma maligno membro inferior
C438,Melanoma maligno invasivo pele
C439,Melanoma maligno pele
C44,Outras neoplasias malignas pele
C440,Neoplasia maligna pele lábio
C441,Neoplasia maligna pele pálpebra
C442,Neoplasia maligna pele orelha conduto auditivo externo
C443,Neoplasia maligna pele outras partes partes não especificadas face
C444,Neoplasia maligna pele couro cabeludo pescoço
C445,Neoplasia maligna pele tronco
C446,Neoplasia maligna pele membro superior
C447,Neoplasia maligna pele membro inferior
C448,Neoplasia maligna pele lesão invasiva
C449,Neoplasia maligna pele
C45,Mesotelioma
C450,Mesotelioma pleura
C451,Mesotelioma peritônio
C452,Mesotelioma pericárdio
C457,Mesotelioma outras localizações
C459,Mesotelioma
C46,Sarcoma Kaposi
C460,Sarcoma Kaposi pele
C461,Sarcoma Kaposi tecidos moles
C462,Sarcoma Kaposi palato
C463,Sarcoma Kaposi gânglios linfáticos
C467,Sarcoma Kaposi outras localizações
C468,Sarcoma Kaposi múltiplos órgãos
C469,Sarcoma Kaposi
C47,Neoplasia maligna nervos periféricos sistema nervoso autônomo
C470,Neoplasia maligna nervos periféricos cabeça
C471,Neoplasia maligna nervos periféricos membros superiores
C472,Neoplasia maligna nervos periféricos membros inferiores
C473,Neoplasia maligna nervos periféricos tórax
C474,Neoplasia maligna nervos periféricos abdome
C475,Neoplasia maligna nervos periféricos pelve
C476,Neoplasia maligna nervos periféricos tronco
C478,Neoplasia maligna nervos periféricos sistema nervoso autônomo lesão invasiva
C479,Neoplasia maligna nervos periféricos sistema nervoso autônomo
C48,Neoplasia maligna tecidos moles retroperitônio peritônio
C480,Neoplasia maligna retroperitônio
C481,Neoplasia maligna partes especificadas peritônio
C482,Neoplasia maligna peritônio
C488,Neoplasia maligna tecidos moles retroperitônio peritônio lesão invasiva
C49,Neoplasia maligna tecido conjuntivo outros tecidos moles
C490,Neoplasia maligna tecido conjuntivo tecidos moles cabeça
C491,Neoplasia maligna tecido conjuntivo tecidos moles membros superiores
C492,Neoplasia maligna tecido conjuntivo tecidos moles membros inferiores
C493,Neoplasia maligna tecido conjuntivo tecidos moles tórax
C494,Neoplasia maligna tecido conjuntivo tecidos moles abdome
